Ano,IdEstablecimiento,establecimiento_denominador,establecimiento_master,servicio_salud_denominador,servicio_salud_master,dependencia_denominador,dependencia_master,nivel_atencion_master,es_aps,sin_match_master
2023,111300,Centro de Salud Familiar N° 1 Dr. Ramón Corbalán Melgarejo,Centro de Salud Familiar N° 1 Dr. Ramón Corbalán Melgarejo,Servicio de Salud Metropolitano Central,Servicio de Salud Metropolitano Central,<NA>,Servicio de Salud,Primario,True,False
2023,111301,Centro de Salud Familiar Nº 5,Centro de Salud Familiar Nº 5,Servicio de Salud Metropolitano Central,Servicio de Salud Metropolitano Central,<NA>,Servicio de Salud,Primario,True,False
2023,111302,Centro de Salud Familiar Padre Vicente Irarrázabal,Centro de Salud Familiar Padre Vicente Irarrázabal,Servicio de Salud Metropolitano Central,Servicio de Salud Metropolitano Central,<NA>,Servicio de Salud,Primario,True,False
2023,111303,Centro de Salud Familiar Lo Valledor Norte,Centro de Salud Familiar Lo Valledor Norte,Servicio de Salud Metropolitano Sur,Servicio de Salud Metropolitano Sur,<NA>,Municipal,Primario,True,False
2023,111304,Centro de Salud Familiar Maipú,Centro de Salud Familiar Maipú,Servicio de Salud Metropolitano Central,Servicio de Salud Metropolitano Central,<NA>,Servicio de Salud,Primario,True,False
2023,111305,Centro de Salud Familiar Dr. Norman Voulliéme,Centro de Salud Familiar Dr. Norman Voulliéme,Servicio de Salud Metropolitano Central,Servicio de Salud Metropolitano Central,<NA>,Servicio de Salud,Primario,True,False
2023,111306,Centro de Salud Familiar San José de Chuchunco,Centro de Salud Familiar San José de Chuchunco,Servicio de Salud Metropolitano Central,Servicio de Salud Metropolitano Central,<NA>,Servicio de Salud,Primario,True,False
2023,111307,Centro de Salud Familiar Enfermera Sofía Pincheira,Centro de Salud Familiar Enfermera Sofía Pincheira,Servicio de Salud Metropolitano Central,Servicio de Salud Metropolitano Central,<NA>,Servicio de Salud,Primario,True,False
2023,111308,Centro de Salud Familiar Dr. José Eduardo Ahués Salame,Centro de Salud Familiar Dr. José Eduardo Ahués Salame,Servicio de Salud Metropolitano Central,Servicio de Salud Metropolitano Central,<NA>,Servicio de Salud,Primario,True,False
2023,111309,Centro de Salud Familiar Dra. Ana María Juricic,Centro de Salud Familiar Dra. Ana María Juricic,Servicio de Salud Metropolitano Central,Servicio de Salud Metropolitano Central,<NA>,Servicio de Salud,Primario,True,False
