Ano,nivel_geografico,IdServicio_master,servicio_salud_master,IdComuna_master,comuna_master,IdEstablecimiento,establecimiento_master,tipo_establecimiento_master,dependencia_master,factor_riesgo,total_15_mas,15_19,20_24,25_29,30_34,35_39,40_44,45_49,50_54,55_59,60_64,65_mas,total_15_mas_numerador,15_19_numerador,20_24_numerador,25_29_numerador,30_34_numerador,35_39_numerador,40_44_numerador,45_49_numerador,50_54_numerador,55_59_numerador,60_64_numerador,65_mas_numerador,sexo,15_19_prevalencia_pct,20_24_prevalencia_pct,25_29_prevalencia_pct,30_34_prevalencia_pct,35_39_prevalencia_pct,40_44_prevalencia_pct,45_49_prevalencia_pct,50_54_prevalencia_pct,55_59_prevalencia_pct,60_64_prevalencia_pct,65_mas_prevalencia_pct,total_15_mas_prevalencia_pct
2023,establecimiento,9,Servicio de Salud Metropolitano Norte,13107,Huechuraba,109317,Centro de Salud Familiar El Barrero,Centro de Salud Familiar (CESFAM),Municipal,Presion arterial elevada,229,0,11,12,10,17,17,12,24,14,6,106,684.0,1.0,56.0,52.0,57.0,45.0,44.0,34.0,50.0,52.0,24.0,269.0,Hombre,0.0,19.642857142857142,23.076923076923077,17.543859649122805,37.77777777777778,38.63636363636363,35.294117647058826,48.0,26.923076923076923,25.0,39.405204460966544,33.47953216374269
2023,establecimiento,9,Servicio de Salud Metropolitano Norte,13107,Huechuraba,109317,Centro de Salud Familiar El Barrero,Centro de Salud Familiar (CESFAM),Municipal,Tabaquismo,189,0,16,24,20,14,17,14,22,18,7,37,684.0,1.0,56.0,52.0,57.0,45.0,44.0,34.0,50.0,52.0,24.0,269.0,Hombre,0.0,28.57142857142857,46.15384615384615,35.08771929824561,31.11111111111111,38.63636363636363,41.17647058823529,44.0,34.61538461538461,29.166666666666668,13.754646840148698,27.631578947368425
2023,establecimiento,9,Servicio de Salud Metropolitano Norte,13107,Huechuraba,109323,Centro de Salud Familiar Dr. Salvador Allende Gossens,Centro de Salud Familiar (CESFAM),Municipal,Colesterol elevado,54,0,0,1,1,1,3,9,10,8,5,16,874.0,5.0,51.0,54.0,75.0,49.0,52.0,62.0,60.0,52.0,28.0,386.0,Hombre,0.0,0.0,1.8518518518518516,1.3333333333333335,2.0408163265306123,5.769230769230769,14.516129032258066,16.666666666666664,15.384615384615385,17.857142857142858,4.145077720207254,6.178489702517163
2023,establecimiento,9,Servicio de Salud Metropolitano Norte,13107,Huechuraba,109323,Centro de Salud Familiar Dr. Salvador Allende Gossens,Centro de Salud Familiar (CESFAM),Municipal,Glicemia alterada,487,0,17,28,41,26,28,44,36,32,25,210,874.0,5.0,51.0,54.0,75.0,49.0,52.0,62.0,60.0,52.0,28.0,386.0,Hombre,0.0,33.33333333333333,51.85185185185185,54.666666666666664,53.06122448979592,53.84615384615385,70.96774193548387,60.0,61.53846153846154,89.28571428571429,54.40414507772021,55.72082379862701
2023,establecimiento,9,Servicio de Salud Metropolitano Norte,13107,Huechuraba,109323,Centro de Salud Familiar Dr. Salvador Allende Gossens,Centro de Salud Familiar (CESFAM),Municipal,Presion arterial elevada,306,1,4,11,18,11,12,21,20,18,14,176,874.0,5.0,51.0,54.0,75.0,49.0,52.0,62.0,60.0,52.0,28.0,386.0,Hombre,20.0,7.8431372549019605,20.37037037037037,24.0,22.448979591836736,23.076923076923077,33.87096774193548,33.33333333333333,34.61538461538461,50.0,45.59585492227979,35.01144164759725
2023,establecimiento,9,Servicio de Salud Metropolitano Norte,13107,Huechuraba,109323,Centro de Salud Familiar Dr. Salvador Allende Gossens,Centro de Salud Familiar (CESFAM),Municipal,Tabaquismo,254,0,19,19,30,21,23,21,31,22,12,56,874.0,5.0,51.0,54.0,75.0,49.0,52.0,62.0,60.0,52.0,28.0,386.0,Hombre,0.0,37.254901960784316,35.18518518518518,40.0,42.857142857142854,44.230769230769226,33.87096774193548,51.66666666666667,42.30769230769231,42.857142857142854,14.507772020725387,29.061784897025174
2023,establecimiento,9,Servicio de Salud Metropolitano Norte,13107,Huechuraba,109718,Centro Comunitario de Salud Familiar Los Libertadores,Centro Comunitario de Salud Familiar (CECOSF),Municipal,Colesterol elevado,34,0,0,1,2,3,1,2,0,2,3,20,483.0,0.0,22.0,36.0,38.0,37.0,28.0,25.0,17.0,30.0,27.0,223.0,Hombre,,0.0,2.7777777777777777,5.263157894736842,8.108108108108109,3.571428571428571,8.0,0.0,6.666666666666667,11.11111111111111,8.968609865470851,7.039337474120083
2023,establecimiento,9,Servicio de Salud Metropolitano Norte,13107,Huechuraba,109718,Centro Comunitario de Salud Familiar Los Libertadores,Centro Comunitario de Salud Familiar (CECOSF),Municipal,Glicemia alterada,112,0,1,4,8,5,4,3,6,5,5,71,483.0,0.0,22.0,36.0,38.0,37.0,28.0,25.0,17.0,30.0,27.0,223.0,Hombre,,4.545454545454546,11.11111111111111,21.052631578947366,13.513513513513514,14.285714285714285,12.0,35.294117647058826,16.666666666666664,18.51851851851852,31.838565022421523,23.18840579710145
2023,establecimiento,9,Servicio de Salud Metropolitano Norte,13107,Huechuraba,109718,Centro Comunitario de Salud Familiar Los Libertadores,Centro Comunitario de Salud Familiar (CECOSF),Municipal,Presion arterial elevada,151,0,3,4,6,4,5,7,6,13,10,93,483.0,0.0,22.0,36.0,38.0,37.0,28.0,25.0,17.0,30.0,27.0,223.0,Hombre,,13.636363636363635,11.11111111111111,15.789473684210526,10.81081081081081,17.857142857142858,28.000000000000004,35.294117647058826,43.333333333333336,37.03703703703704,41.70403587443946,31.262939958592135
2023,establecimiento,9,Servicio de Salud Metropolitano Norte,13107,Huechuraba,109718,Centro Comunitario de Salud Familiar Los Libertadores,Centro Comunitario de Salud Familiar (CECOSF),Municipal,Tabaquismo,118,0,9,14,12,13,12,8,5,4,5,36,483.0,0.0,22.0,36.0,38.0,37.0,28.0,25.0,17.0,30.0,27.0,223.0,Hombre,,40.909090909090914,38.88888888888889,31.57894736842105,35.13513513513514,42.857142857142854,32.0,29.411764705882355,13.333333333333334,18.51851851851852,16.143497757847534,24.43064182194617
2023,establecimiento,9,Servicio de Salud Metropolitano Norte,13107,Huechuraba,200961,Centro de Salud Familiar Dr. Victor Castro Wiren,Centro de Salud Familiar (CESFAM),Municipal,Colesterol elevado,25,1,0,0,1,2,0,2,2,2,2,13,407.0,3.0,21.0,27.0,26.0,22.0,14.0,18.0,20.0,21.0,17.0,218.0,Hombre,33.33333333333333,0.0,0.0,3.8461538461538463,9.090909090909092,0.0,11.11111111111111,10.0,9.523809523809524,11.76470588235294,5.963302752293578,6.142506142506143
2023,establecimiento,9,Servicio de Salud Metropolitano Norte,13107,Huechuraba,200961,Centro de Salud Familiar Dr. Victor Castro Wiren,Centro de Salud Familiar (CESFAM),Municipal,Glicemia alterada,183,0,10,4,9,9,6,6,10,9,9,111,407.0,3.0,21.0,27.0,26.0,22.0,14.0,18.0,20.0,21.0,17.0,218.0,Hombre,0.0,47.61904761904761,14.814814814814813,34.61538461538461,40.909090909090914,42.857142857142854,33.33333333333333,50.0,42.857142857142854,52.94117647058824,50.917431192660544,44.96314496314496
2023,establecimiento,9,Servicio de Salud Metropolitano Norte,13107,Huechuraba,200961,Centro de Salud Familiar Dr. Victor Castro Wiren,Centro de Salud Familiar (CESFAM),Municipal,Presion arterial elevada,90,0,3,3,2,3,4,3,3,5,4,60,407.0,3.0,21.0,27.0,26.0,22.0,14.0,18.0,20.0,21.0,17.0,218.0,Hombre,0.0,14.285714285714285,11.11111111111111,7.6923076923076925,13.636363636363635,28.57142857142857,16.666666666666664,15.0,23.809523809523807,23.52941176470588,27.522935779816514,22.11302211302211
2023,establecimiento,9,Servicio de Salud Metropolitano Norte,13107,Huechuraba,200961,Centro de Salud Familiar Dr. Victor Castro Wiren,Centro de Salud Familiar (CESFAM),Municipal,Tabaquismo,79,0,6,6,6,9,1,5,5,7,4,30,407.0,3.0,21.0,27.0,26.0,22.0,14.0,18.0,20.0,21.0,17.0,218.0,Hombre,0.0,28.57142857142857,22.22222222222222,23.076923076923077,40.909090909090914,7.142857142857142,27.77777777777778,25.0,33.33333333333333,23.52941176470588,13.761467889908257,19.41031941031941
2023,establecimiento,9,Servicio de Salud Metropolitano Norte,13108,Independencia,109300,Centro de Salud Familiar Agustín Cruz Melo,Centro de Salud Familiar (CESFAM),Municipal,Colesterol elevado,41,0,3,1,4,1,3,2,4,1,0,22,1267.0,4.0,43.0,84.0,84.0,108.0,108.0,67.0,66.0,47.0,46.0,610.0,Hombre,0.0,6.976744186046512,1.1904761904761905,4.761904761904762,0.9259259259259258,2.7777777777777777,2.9850746268656714,6.0606060606060606,2.127659574468085,0.0,3.606557377049181,3.235990528808208
2023,establecimiento,9,Servicio de Salud Metropolitano Norte,13108,Independencia,109300,Centro de Salud Familiar Agustín Cruz Melo,Centro de Salud Familiar (CESFAM),Municipal,Glicemia alterada,96,0,0,0,1,3,2,1,2,5,4,78,1267.0,4.0,43.0,84.0,84.0,108.0,108.0,67.0,66.0,47.0,46.0,610.0,Hombre,0.0,0.0,0.0,1.1904761904761905,2.7777777777777777,1.8518518518518516,1.4925373134328357,3.0303030303030303,10.638297872340425,8.695652173913043,12.786885245901638,7.576953433307025
2023,establecimiento,9,Servicio de Salud Metropolitano Norte,13108,Independencia,109300,Centro de Salud Familiar Agustín Cruz Melo,Centro de Salud Familiar (CESFAM),Municipal,Presion arterial elevada,288,0,5,9,11,19,25,25,16,10,15,153,1267.0,4.0,43.0,84.0,84.0,108.0,108.0,67.0,66.0,47.0,46.0,610.0,Hombre,0.0,11.627906976744185,10.714285714285714,13.095238095238097,17.59259259259259,23.14814814814815,37.3134328358209,24.242424242424242,21.27659574468085,32.608695652173914,25.08196721311475,22.730860299921073
