Ano,IdEstablecimiento,IdComuna_den,comuna_denominador,establecimiento_denominador,servicio_salud_denominador,dependencia_denominador,15_19_Hombre,15_19_Mujer,20_24_Hombre,20_24_Mujer,20_54_Hombre,20_54_Mujer,20_64_Hombre,20_64_Mujer,25_29_Hombre,25_29_Mujer,30_34_Hombre,30_34_Mujer,35_39_Hombre,35_39_Mujer,40_44_Hombre,40_44_Mujer,45_49_Hombre,45_49_Mujer,50_54_Hombre,50_54_Mujer,55_59_Hombre,55_59_Mujer,60_64_Hombre,60_64_Mujer,65_mas_Hombre,65_mas_Mujer,total_15_mas_Hombre,total_15_mas_Mujer,EstablecimientoCodigoAntiguo,EstablecimientoCodigo_master,codigo_madre_master,RegionCodigo,IdServicio_master,servicio_salud_master,tipo_establecimiento_master,establecimiento_master,dependencia_master,nivel_atencion_master,IdComuna_master,comuna_master,estado_funcionamiento_master,es_aps,sin_match_master
2023,109419,13301,Colina,Posta de Salud Rural Santa Marta de Liray,Servicio de Salud Metropolitano Norte,<NA>,1.0,0.0,4.0,2.0,15.0,18.0,17.0,21.0,0.0,4.0,3.0,3.0,2.0,3.0,1.0,4.0,3.0,2.0,2.0,0.0,1.0,0.0,1.0,3.0,3.0,2.0,21.0,23.0,09-419,109419,,13,09,Servicio de Salud Metropolitano Norte,Posta de Salud Rural (PSR),Posta de Salud Rural Santa Marta de Liray,Municipal,Primario,13301,Colina,Vigente en Operación Habitual,True,False
2023,109420,13301,Colina,Posta de Salud Rural Chacabuco (Colina),Servicio de Salud Metropolitano Norte,<NA>,0.0,1.0,0.0,1.0,10.0,8.0,10.0,10.0,0.0,2.0,5.0,0.0,0.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,4.0,10.0,15.0,09-420,109420,,13,09,Servicio de Salud Metropolitano Norte,Posta de Salud Rural (PSR),Posta de Salud Rural Chacabuco (Colina),Municipal,Primario,13301,Colina,Vigente en Operación Habitual,True,False
2023,109709,13104,Conchalí,Centro Comunitario de Salud Familiar Dr. José Symón Ojeda,Servicio de Salud Metropolitano Norte,<NA>,36.0,51.0,43.0,78.0,285.0,546.0,342.0,639.0,36.0,100.0,42.0,92.0,49.0,104.0,38.0,60.0,32.0,58.0,45.0,54.0,27.0,51.0,30.0,42.0,84.0,114.0,462.0,804.0,09-709,109709,109309,13,09,Servicio de Salud Metropolitano Norte,Centro Comunitario de Salud Familiar (CECOSF),Centro Comunitario de Salud Familiar Dr. José Symón Ojeda,Municipal,Primario,13104,Conchalí,Vigente en Operación Habitual,True,False
2023,109711,13302,Lampa,Centro Comunitario de Salud Familiar Sol de Septiembre,Servicio de Salud Metropolitano Norte,<NA>,179.0,172.0,124.0,192.0,856.0,1263.0,1080.0,1495.0,146.0,224.0,134.0,220.0,117.0,169.0,103.0,154.0,106.0,167.0,126.0,137.0,119.0,130.0,105.0,102.0,199.0,221.0,1458.0,1888.0,09-711,109711,109311,13,09,Servicio de Salud Metropolitano Norte,Centro Comunitario de Salud Familiar (CECOSF),Centro Comunitario de Salud Familiar Sol de Septiembre,Municipal,Primario,13302,Lampa,Vigente en Operación Habitual,True,False
2023,109712,13302,Lampa,Centro Comunitario de Salud Familiar Batuco,Servicio de Salud Metropolitano Norte,<NA>,239.0,244.0,248.0,281.0,1403.0,1693.0,1694.0,2031.0,237.0,318.0,276.0,310.0,198.0,220.0,171.0,214.0,140.0,178.0,133.0,172.0,156.0,185.0,135.0,153.0,222.0,272.0,2155.0,2547.0,09-712,109712,109312,13,09,Servicio de Salud Metropolitano Norte,Centro Comunitario de Salud Familiar (CECOSF),Centro Comunitario de Salud Familiar Batuco,Municipal,Primario,13302,Lampa,Vigente en Operación Habitual,True,False
2023,109713,13125,Quilicura,Centro Comunitario de Salud Familiar La Foresta,Servicio de Salud Metropolitano Norte,<NA>,83.0,69.0,79.0,103.0,347.0,620.0,454.0,790.0,49.0,99.0,38.0,85.0,24.0,55.0,30.0,51.0,39.0,100.0,88.0,127.0,65.0,110.0,42.0,60.0,57.0,78.0,594.0,937.0,09-713,109713,109324,13,09,Servicio de Salud Metropolitano Norte,Centro Comunitario de Salud Familiar (CECOSF),Centro Comunitario de Salud Familiar La Foresta,Municipal,Primario,13125,Quilicura,Vigente en Operación Habitual,True,False
2023,109715,13125,Quilicura,Centro Comunitario de Salud Familiar Pucara de Lasana,Servicio de Salud Metropolitano Norte,<NA>,83.0,97.0,55.0,96.0,615.0,996.0,722.0,1161.0,78.0,191.0,154.0,215.0,106.0,175.0,96.0,137.0,66.0,88.0,60.0,94.0,57.0,85.0,50.0,80.0,98.0,180.0,903.0,1438.0,09-715,109715,109315,13,09,Servicio de Salud Metropolitano Norte,Centro Comunitario de Salud Familiar (CECOSF),Centro Comunitario de Salud Familiar Pucara de Lasana,Municipal,Primario,13125,Quilicura,Vigente en Operación Habitual,True,False
2023,109716,13301,Colina,Centro Comunitario de Salud Familiar Esmeralda,Servicio de Salud Metropolitano Norte,<NA>,30.0,40.0,24.0,44.0,205.0,250.0,228.0,284.0,40.0,34.0,36.0,40.0,28.0,44.0,28.0,43.0,29.0,26.0,20.0,19.0,11.0,22.0,12.0,12.0,20.0,25.0,278.0,349.0,09-716,109716,109316,13,09,Servicio de Salud Metropolitano Norte,Centro Comunitario de Salud Familiar (CECOSF),Centro Comunitario de Salud Familiar Esmeralda,Municipal,Primario,13301,Colina,Vigente en Operación Habitual,True,False
2023,109718,13107,Huechuraba,Centro Comunitario de Salud Familiar Los Libertadores,Servicio de Salud Metropolitano Norte,<NA>,226.0,244.0,254.0,313.0,1565.0,2348.0,2068.0,3018.0,269.0,383.0,278.0,406.0,240.0,409.0,180.0,305.0,170.0,259.0,174.0,273.0,252.0,327.0,251.0,343.0,520.0,718.0,2814.0,3980.0,09-718,109718,109305,13,09,Servicio de Salud Metropolitano Norte,Centro Comunitario de Salud Familiar (CECOSF),Centro Comunitario de Salud Familiar Los Libertadores,Municipal,Primario,13107,Huechuraba,Vigente en Operación Habitual,True,False
2023,110160,13503,Curacaví,Hospital de Curacaví,Servicio de Salud Metropolitano Occidente,<NA>,717.0,672.0,788.0,709.0,4138.0,4766.0,5350.0,6179.0,725.0,775.0,674.0,683.0,463.0,692.0,465.0,600.0,514.0,613.0,509.0,694.0,618.0,757.0,594.0,656.0,1296.0,1619.0,7363.0,8470.0,10-160,110160,,13,10,Servicio de Salud Metropolitano Occidente,Hospital,Hospital de Curacaví,Servicio de Salud,,13503,Curacaví,Vigente en Operación Habitual,False,False
2023,110300,13124,Pudahuel,Centro de Referencia de Salud Salvador Allende,Servicio de Salud Metropolitano Occidente,<NA>,0.0,0.0,0.0,0.0,2.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,4.0,10-300,110300,,13,10,Servicio de Salud Metropolitano Occidente,Centro de Referencia de Salud (CRS),Centro de Referencia de Salud Salvador Allende,Servicio de Salud,Secundario,13124,Pudahuel,Vigente en Operación Habitual,False,False
2023,110308,13605,Peñaflor,Centro de Salud Familiar Peñaflor,Servicio de Salud Metropolitano Occidente,<NA>,1409.0,1308.0,1426.0,1488.0,8354.0,9874.0,10539.0,12393.0,1456.0,1594.0,1212.0,1565.0,1001.0,1291.0,956.0,1251.0,1058.0,1372.0,1245.0,1313.0,1169.0,1337.0,1016.0,1182.0,2358.0,3331.0,14306.0,17032.0,10-308,110308,,13,10,Servicio de Salud Metropolitano Occidente,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Peñaflor,Municipal,Primario,13605,Peñaflor,Vigente en Operación Habitual,True,False
