Ano,nivel_geografico,IdServicio_master,servicio_salud_master,IdComuna_master,comuna_master,categoria_estado_nutricional,15_24,25_34,35_44,45_54,55_64,65_mas,total_15_mas,15_24_numerador,25_34_numerador,35_44_numerador,45_54_numerador,55_64_numerador,65_mas_numerador,total_15_mas_numerador,15_24_distribucion_pct,25_34_distribucion_pct,35_44_distribucion_pct,45_54_distribucion_pct,55_64_distribucion_pct,65_mas_distribucion_pct,total_15_mas_distribucion_pct
2024,comuna,13,Servicio de Salud Metropolitano Sur,13403,Calera de Tango,Obesidad,88,274,268,249,212,256,1347,239,584,564,537,505,1039,3468,36.82008368200837,46.917808219178085,47.5177304964539,46.36871508379888,41.98019801980198,24.639076034648703,38.84083044982699
2024,comuna,13,Servicio de Salud Metropolitano Sur,13403,Calera de Tango,Sobrepeso,73,180,205,203,203,310,1174,239,584,564,537,505,1039,3468,30.543933054393307,30.82191780821918,36.347517730496456,37.80260707635009,40.1980198019802,29.836381135707413,33.852364475201846
2024,comuna,13,Servicio de Salud Metropolitano Sur,13404,Paine,Bajo peso,23,23,12,4,10,333,405,1249,2643,2430,1747,1334,3894,13297,1.8414731785428344,0.8702232311766931,0.49382716049382713,0.22896393817973668,0.7496251874062968,8.551617873651772,3.045799804467173
2024,comuna,13,Servicio de Salud Metropolitano Sur,13404,Paine,Normal,415,588,392,326,282,1383,3386,1249,2643,2430,1747,1334,3894,13297,33.226581265012015,22.24744608399546,16.131687242798353,18.66056096164854,21.13943028485757,35.516178736517716,25.464390464014443
2024,comuna,13,Servicio de Salud Metropolitano Sur,13404,Paine,Obesidad,423,1116,1128,727,453,977,4824,1249,2643,2430,1747,1334,3894,13297,33.86709367493995,42.22474460839955,46.41975308641975,41.61419576416714,33.95802098950525,25.089881869542886,36.278859893208995
2024,comuna,13,Servicio de Salud Metropolitano Sur,13404,Paine,Sobrepeso,388,916,898,690,589,1201,4682,1249,2643,2430,1747,1334,3894,13297,31.064851881505206,34.6575860764283,36.95473251028807,39.496279336004584,44.15292353823089,30.842321520287623,35.21094983830939
2024,comuna,14,Servicio de Salud Metropolitano Sur Oriente,13110,La Florida,Bajo peso,102,69,41,15,33,2261,2521,3642,7486,5737,3691,3054,21678,45288,2.800658978583196,0.9217205450173658,0.7146592295624891,0.40639393118396094,1.080550098231827,10.429928960236184,5.566596007772478
2024,comuna,14,Servicio de Salud Metropolitano Sur Oriente,13110,La Florida,Normal,1392,1923,1121,740,718,8380,14274,3642,7486,5737,3691,3054,21678,45288,38.220757825370676,25.687950841570935,19.53982917901342,20.048767271742072,23.510150622134905,38.65670264784574,31.518282988871228
2024,comuna,14,Servicio de Salud Metropolitano Sur Oriente,13110,La Florida,Obesidad,1066,2909,2417,1515,998,4918,13823,3642,7486,5737,3691,3054,21678,45288,29.269632070291046,38.859203847181405,42.13003311835454,41.045787049580056,32.678454485920106,22.686594704308515,30.522434198904786
2024,comuna,14,Servicio de Salud Metropolitano Sur Oriente,13110,La Florida,Sobrepeso,1082,2585,2158,1421,1305,6119,14670,3642,7486,5737,3691,3054,21678,45288,29.70895112575508,34.5311247662303,37.615478473069544,38.49905174749391,42.73084479371316,28.22677368760956,32.39268680445151
2024,comuna,14,Servicio de Salud Metropolitano Sur Oriente,13111,La Granja,Bajo peso,35,24,7,9,10,618,703,1472,2740,2180,1424,1204,7108,16128,2.377717391304348,0.8759124087591241,0.3211009174311927,0.6320224719101123,0.8305647840531563,8.694428812605516,4.358878968253968
2024,comuna,14,Servicio de Salud Metropolitano Sur Oriente,13111,La Granja,Normal,498,606,377,268,282,2543,4574,1472,2740,2180,1424,1204,7108,16128,33.83152173913043,22.11678832116788,17.293577981651374,18.820224719101123,23.421926910299003,35.776589758019135,28.360615079365083
2024,comuna,14,Servicio de Salud Metropolitano Sur Oriente,13111,La Granja,Obesidad,497,1197,999,586,433,1876,5588,1472,2740,2180,1424,1204,7108,16128,33.76358695652174,43.68613138686131,45.825688073394495,41.151685393258425,35.96345514950166,26.39279684862127,34.64781746031746
2024,comuna,14,Servicio de Salud Metropolitano Sur Oriente,13111,La Granja,Sobrepeso,442,913,797,561,479,2071,5263,1472,2740,2180,1424,1204,7108,16128,30.027173913043477,33.32116788321168,36.559633027522935,39.396067415730336,39.78405315614618,29.136184580754083,32.632688492063494
2024,comuna,14,Servicio de Salud Metropolitano Sur Oriente,13112,La Pintana,Bajo peso,85,41,22,14,36,660,858,2422,3239,2445,1789,1315,8606,19816,3.509496284062758,1.2658227848101267,0.899795501022495,0.7825600894354388,2.737642585551331,7.669068092028818,4.32983447719015
2024,comuna,14,Servicio de Salud Metropolitano Sur Oriente,13112,La Pintana,Normal,826,646,393,312,270,2805,5252,2422,3239,2445,1789,1315,8606,19816,34.104046242774565,19.94442729237419,16.07361963190184,17.439910564561206,20.53231939163498,32.59353939112247,26.50383528461849
2024,comuna,14,Servicio de Salud Metropolitano Sur Oriente,13112,La Pintana,Obesidad,865,1501,1167,811,499,2535,7378,2422,3239,2445,1789,1315,8606,19816,35.714285714285715,46.34146341463415,47.73006134969325,45.332588038010066,37.9467680608365,29.45619335347432,37.23253936213161
2024,comuna,14,Servicio de Salud Metropolitano Sur Oriente,13112,La Pintana,Sobrepeso,646,1051,863,652,510,2606,6328,2422,3239,2445,1789,1315,8606,19816,26.67217175887696,32.44828650818154,35.29652351738241,36.4449413079933,38.78326996197718,30.28119916337439,31.93379087605975
2024,comuna,14,Servicio de Salud Metropolitano Sur Oriente,13131,San Ramón,Bajo peso,30,19,26,11,14,446,546,1322,2340,1830,1768,1286,5212,13758,2.26928895612708,0.8119658119658121,1.4207650273224044,0.6221719457013575,1.088646967340591,8.557175748273217,3.96860008722198
2024,comuna,14,Servicio de Salud Metropolitano Sur Oriente,13131,San Ramón,Normal,508,551,360,317,270,2052,4058,1322,2340,1830,1768,1286,5212,13758,38.42662632375189,23.547008547008545,19.672131147540984,17.929864253393664,20.99533437013997,39.370683039140445,29.49556621601977
2024,comuna,14,Servicio de Salud Metropolitano Sur Oriente,13131,San Ramón,Obesidad,393,968,755,717,445,1251,4529,1322,2340,1830,1768,1286,5212,13758,29.72768532526475,41.36752136752136,41.2568306010929,40.55429864253394,34.603421461897355,24.002302379125094,32.91902892862335
2024,comuna,14,Servicio de Salud Metropolitano Sur Oriente,13131,San Ramón,Sobrepeso,391,802,689,723,557,1463,4625,1322,2340,1830,1768,1286,5212,13758,29.576399394856278,34.27350427350427,37.650273224043715,40.89366515837104,43.31259720062208,28.06983883346124,33.616804768134905
2024,comuna,14,Servicio de Salud Metropolitano Sur Oriente,13201,Puente Alto,Bajo peso,99,56,17,12,16,1873,2073,3152,5447,4666,3583,3196,16368,36412,3.140862944162436,1.0280888562511474,0.3643377625375054,0.3349148758024002,0.5006257822277848,11.4430596285435,5.693178073162693
2024,comuna,14,Servicio de Salud Metropolitano Sur Oriente,13201,Puente Alto,Normal,1031,1135,662,552,656,5999,10035,3152,5447,4666,3583,3196,16368,36412,32.70939086294416,20.837158068661648,14.187741105872268,15.40608428691041,20.52565707133917,36.65078201368524,27.5595957376689
