Ano,nivel_geografico,IdServicio_master,servicio_salud_master,IdComuna_master,comuna_master,IdEstablecimiento,establecimiento_master,tipo_establecimiento_master,dependencia_master,factor_riesgo,15_19,20_24,25_29,30_34,35_39,40_44,45_49,50_54,55_59,60_64,65_mas,total_15_mas,15_19_numerador,20_24_numerador,25_29_numerador,30_34_numerador,35_39_numerador,40_44_numerador,45_49_numerador,50_54_numerador,55_59_numerador,60_64_numerador,65_mas_numerador,total_15_mas_numerador,15_19_prevalencia_pct,20_24_prevalencia_pct,25_29_prevalencia_pct,30_34_prevalencia_pct,35_39_prevalencia_pct,40_44_prevalencia_pct,45_49_prevalencia_pct,50_54_prevalencia_pct,55_59_prevalencia_pct,60_64_prevalencia_pct,65_mas_prevalencia_pct,total_15_mas_prevalencia_pct
2023,establecimiento,9,Servicio de Salud Metropolitano Norte,13107,Huechuraba,109317,Centro de Salud Familiar El Barrero,Centro de Salud Familiar (CESFAM),Municipal,Tabaquismo,0,43,79,62,47,47,50,47,44,13,91,523,2.0,186.0,230.0,226.0,162.0,140.0,123.0,161.0,140.0,57.0,716.0,2143.0,0.0,23.118279569892472,34.34782608695652,27.43362831858407,29.01234567901235,33.57142857142857,40.65040650406504,29.19254658385093,31.428571428571427,22.807017543859647,12.70949720670391,24.4050396640224
2023,establecimiento,9,Servicio de Salud Metropolitano Norte,13107,Huechuraba,109323,Centro de Salud Familiar Dr. Salvador Allende Gossens,Centro de Salud Familiar (CESFAM),Municipal,Colesterol elevado,0,1,9,4,7,18,25,51,23,13,90,241,9.0,238.0,272.0,276.0,198.0,185.0,180.0,212.0,130.0,73.0,1061.0,2834.0,0.0,0.42016806722689076,3.308823529411765,1.4492753623188406,3.535353535353535,9.72972972972973,13.88888888888889,24.056603773584907,17.692307692307693,17.80821917808219,8.482563619227145,8.503881439661257
2023,establecimiento,9,Servicio de Salud Metropolitano Norte,13107,Huechuraba,109323,Centro de Salud Familiar Dr. Salvador Allende Gossens,Centro de Salud Familiar (CESFAM),Municipal,Glicemia alterada,2,87,117,134,114,101,117,122,78,60,523,1455,9.0,238.0,272.0,276.0,198.0,185.0,180.0,212.0,130.0,73.0,1061.0,2834.0,22.22222222222222,36.554621848739494,43.01470588235294,48.55072463768116,57.57575757575758,54.59459459459459,65.0,57.54716981132076,60.0,82.1917808219178,49.29311969839774,51.34086097388849
2023,establecimiento,9,Servicio de Salud Metropolitano Norte,13107,Huechuraba,109323,Centro de Salud Familiar Dr. Salvador Allende Gossens,Centro de Salud Familiar (CESFAM),Municipal,Presion arterial elevada,1,11,20,36,20,34,46,43,33,23,449,716,9.0,238.0,272.0,276.0,198.0,185.0,180.0,212.0,130.0,73.0,1061.0,2834.0,11.11111111111111,4.621848739495799,7.352941176470589,13.043478260869565,10.1010101010101,18.37837837837838,25.555555555555554,20.28301886792453,25.384615384615383,31.506849315068493,42.31856738925542,25.264643613267467
2023,establecimiento,9,Servicio de Salud Metropolitano Norte,13107,Huechuraba,109323,Centro de Salud Familiar Dr. Salvador Allende Gossens,Centro de Salud Familiar (CESFAM),Municipal,Tabaquismo,2,64,78,95,65,75,61,99,51,26,142,758,9.0,238.0,272.0,276.0,198.0,185.0,180.0,212.0,130.0,73.0,1061.0,2834.0,22.22222222222222,26.89075630252101,28.676470588235293,34.42028985507246,32.82828282828283,40.54054054054054,33.88888888888889,46.69811320754717,39.23076923076923,35.61643835616438,13.383600377002827,26.74664784756528
2023,establecimiento,9,Servicio de Salud Metropolitano Norte,13107,Huechuraba,109718,Centro Comunitario de Salud Familiar Los Libertadores,Centro Comunitario de Salud Familiar (CECOSF),Municipal,Colesterol elevado,0,4,1,8,7,9,9,10,12,15,65,140,0.0,88.0,139.0,130.0,139.0,105.0,67.0,69.0,83.0,73.0,553.0,1446.0,,4.545454545454546,0.7194244604316548,6.153846153846154,5.0359712230215825,8.571428571428571,13.432835820895523,14.492753623188406,14.457831325301203,20.54794520547945,11.754068716094032,9.681881051175658
2023,establecimiento,9,Servicio de Salud Metropolitano Norte,13107,Huechuraba,109718,Centro Comunitario de Salud Familiar Los Libertadores,Centro Comunitario de Salud Familiar (CECOSF),Municipal,Glicemia alterada,0,5,16,19,18,13,11,14,13,10,146,265,0.0,88.0,139.0,130.0,139.0,105.0,67.0,69.0,83.0,73.0,553.0,1446.0,,5.681818181818182,11.510791366906476,14.615384615384617,12.949640287769784,12.380952380952381,16.417910447761194,20.28985507246377,15.66265060240964,13.698630136986301,26.40144665461121,18.326417704011064
2023,establecimiento,9,Servicio de Salud Metropolitano Norte,13107,Huechuraba,109718,Centro Comunitario de Salud Familiar Los Libertadores,Centro Comunitario de Salud Familiar (CECOSF),Municipal,Presion arterial elevada,0,3,13,11,14,15,12,17,22,17,216,340,0.0,88.0,139.0,130.0,139.0,105.0,67.0,69.0,83.0,73.0,553.0,1446.0,,3.4090909090909087,9.352517985611511,8.461538461538462,10.071942446043165,14.285714285714285,17.91044776119403,24.637681159420293,26.506024096385545,23.28767123287671,39.059674502712475,23.513139695712308
2023,establecimiento,9,Servicio de Salud Metropolitano Norte,13107,Huechuraba,109718,Centro Comunitario de Salud Familiar Los Libertadores,Centro Comunitario de Salud Familiar (CECOSF),Municipal,Tabaquismo,0,30,58,37,49,39,23,21,11,20,86,374,0.0,88.0,139.0,130.0,139.0,105.0,67.0,69.0,83.0,73.0,553.0,1446.0,,34.090909090909086,41.726618705035975,28.46153846153846,35.25179856115108,37.142857142857146,34.32835820895522,30.434782608695656,13.253012048192772,27.397260273972602,15.551537070524413,25.864453665283545
2023,establecimiento,9,Servicio de Salud Metropolitano Norte,13107,Huechuraba,200961,Centro de Salud Familiar Dr. Victor Castro Wiren,Centro de Salud Familiar (CESFAM),Municipal,Colesterol elevado,1,1,2,2,3,4,12,9,12,10,70,126,8.0,69.0,105.0,88.0,57.0,59.0,83.0,75.0,76.0,58.0,715.0,1393.0,12.5,1.4492753623188406,1.9047619047619049,2.272727272727273,5.263157894736842,6.779661016949152,14.457831325301203,12.0,15.789473684210526,17.24137931034483,9.79020979020979,9.045226130653267
