Ano,IdRegion,IdServicio,IdComuna,IdEstablecimiento,codigo_madre_master,IdServicio_master,servicio_salud_master,dependencia_master,IdComuna_master,comuna_master,tipo_establecimiento_master,establecimiento_master,nivel_atencion_master,estado_funcionamiento_master,es_aps,sin_match_master,profesional,total_ambos_sexos,total_hombres,total_mujeres,15_19,20_24,25_29,30_34,35_39,40_44,45_49,50_54,55_59,60_64,65_mas,15_19_hombres,20_24_hombres,25_29_hombres,30_34_hombres,35_39_hombres,40_44_hombres,45_49_hombres,50_54_hombres,55_59_hombres,60_64_hombres,20_64_hombres,65_mas_hombres,15_19_mujeres,20_24_mujeres,25_29_mujeres,30_34_mujeres,35_39_mujeres,40_44_mujeres,45_49_mujeres,50_54_mujeres,55_59_mujeres,60_64_mujeres,20_64_mujeres,65_mas_mujeres,pueblos_originarios,migrantes
2025,13,10,13501,110380,,10,Servicio de Salud Metropolitano Occidente,Municipal,13501,Melipilla,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar San Manuel,Primario,Vigente en Operación Habitual,True,False,Matrona/on,3,0,3,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,3,0,0.0,0.0
2025,13,10,13501,110380,,10,Servicio de Salud Metropolitano Occidente,Municipal,13501,Melipilla,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar San Manuel,Primario,Vigente en Operación Habitual,True,False,Nutricionista,590,211,379,12,17,36,34,45,57,56,78,106,149,0,2,4,18,7,15,21,21,25,39,59,209,0,10,13,18,27,30,36,35,53,67,90,369,0,0.0,0.0
2025,13,10,13501,110380,,10,Servicio de Salud Metropolitano Occidente,Municipal,13501,Melipilla,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar San Manuel,Primario,Vigente en Operación Habitual,True,False,Tecnico en enfermeria,416,176,240,9,40,49,56,56,65,36,51,22,32,0,2,17,24,24,24,31,8,21,12,13,174,0,7,23,25,32,32,34,28,30,10,19,233,0,0.0,0.0
2025,13,10,13501,110381,,10,Servicio de Salud Metropolitano Occidente,Municipal,13501,Melipilla,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Alfarera Rosa Reyes Vilches,Primario,Vigente en Operación Habitual,True,False,Enfermera/o,544,247,297,1,3,1,3,5,15,9,23,29,54,401,0,1,0,2,1,8,4,7,12,28,63,184,1,2,1,1,4,7,5,16,17,26,79,217,0.0,0.0
2025,13,10,13501,110381,,10,Servicio de Salud Metropolitano Occidente,Municipal,13501,Melipilla,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Alfarera Rosa Reyes Vilches,Primario,Vigente en Operación Habitual,True,False,Matrona/on,48,0,48,0,8,12,1,5,4,9,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,12,1,5,4,9,5,2,2,48,0,0.0,0.0
2025,13,10,13501,110381,,10,Servicio de Salud Metropolitano Occidente,Municipal,13501,Melipilla,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Alfarera Rosa Reyes Vilches,Primario,Vigente en Operación Habitual,True,False,Medico/a,77,26,51,1,1,4,2,7,9,14,8,16,15,0,0,1,1,0,1,3,6,0,5,9,26,0,1,0,3,2,6,6,8,8,11,6,50,0,0.0,0.0
2025,13,10,13501,110381,,10,Servicio de Salud Metropolitano Occidente,Municipal,13501,Melipilla,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Alfarera Rosa Reyes Vilches,Primario,Vigente en Operación Habitual,True,False,Nutricionista,235,90,145,1,13,25,32,30,32,25,33,26,18,0,0,6,11,10,12,11,10,11,10,9,90,0,1,7,14,22,18,21,15,22,16,9,144,0,0.0,0.0
2025,13,10,13501,110381,,10,Servicio de Salud Metropolitano Occidente,Municipal,13501,Melipilla,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Alfarera Rosa Reyes Vilches,Primario,Vigente en Operación Habitual,True,False,Tecnico en enfermeria,273,138,135,1,16,30,45,42,40,30,24,23,22,0,1,9,18,16,24,25,17,14,5,9,137,0,0,7,12,29,18,15,13,10,18,13,135,0,0.0,0.0
2025,13,10,13501,110440,,10,Servicio de Salud Metropolitano Occidente,Municipal,13501,Melipilla,Posta de Salud Rural (PSR),Posta de Salud Rural Bollenar,Primario,Vigente en Operación Habitual,True,False,Enfermera/o,434,163,271,0,2,0,2,1,5,6,12,13,11,382,0,0,0,0,0,0,2,3,2,2,9,154,0,2,0,2,1,5,4,9,11,9,43,228,0.0,0.0
2025,13,10,13501,110440,,10,Servicio de Salud Metropolitano Occidente,Municipal,13501,Melipilla,Posta de Salud Rural (PSR),Posta de Salud Rural Bollenar,Primario,Vigente en Operación Habitual,True,False,Matrona/on,2,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0.0,0.0
2025,13,10,13501,110440,,10,Servicio de Salud Metropolitano Occidente,Municipal,13501,Melipilla,Posta de Salud Rural (PSR),Posta de Salud Rural Bollenar,Primario,Vigente en Operación Habitual,True,False,Medico/a,31,9,22,0,0,0,0,2,3,6,4,10,6,0,0,0,0,0,0,1,1,2,3,2,9,0,0,0,0,0,2,2,5,2,7,4,22,0,0.0,0.0
2025,13,10,13501,110440,,10,Servicio de Salud Metropolitano Occidente,Municipal,13501,Melipilla,Posta de Salud Rural (PSR),Posta de Salud Rural Bollenar,Primario,Vigente en Operación Habitual,True,False,Nutricionista,325,95,230,3,16,34,29,27,29,28,38,61,60,0,0,4,11,5,7,7,12,9,23,17,95,0,3,12,23,24,20,22,16,29,38,43,227,0,0.0,0.0
2025,13,10,13501,110440,,10,Servicio de Salud Metropolitano Occidente,Municipal,13501,Melipilla,Posta de Salud Rural (PSR),Posta de Salud Rural Bollenar,Primario,Vigente en Operación Habitual,True,False,Tecnico en enfermeria,343,108,235,4,32,66,44,45,38,35,27,26,26,0,1,10,20,13,17,12,15,5,5,10,107,0,3,22,46,31,28,26,20,22,21,16,232,0,0.0,0.0
2025,13,10,13501,110445,,10,Servicio de Salud Metropolitano Occidente,Municipal,13501,Melipilla,Posta de Salud Rural (PSR),Posta de Salud Rural Pahuilmo,Primario,Vigente en Operación Habitual,True,False,Enfermera/o,380,162,218,1,1,0,0,2,2,3,4,14,20,333,0,1,0,0,1,1,0,1,3,8,15,147,1,0,0,0,1,1,3,3,11,12,31,186,0.0,0.0
2025,13,10,13501,110445,,10,Servicio de Salud Metropolitano Occidente,Municipal,13501,Melipilla,Posta de Salud Rural (PSR),Posta de Salud Rural Pahuilmo,Primario,Vigente en Operación Habitual,True,False,Matrona/on,3,0,3,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,3,0,0.0,0.0
2025,13,10,13501,110445,,10,Servicio de Salud Metropolitano Occidente,Municipal,13501,Melipilla,Posta de Salud Rural (PSR),Posta de Salud Rural Pahuilmo,Primario,Vigente en Operación Habitual,True,False,Medico/a,2,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0.0,0.0
2025,13,10,13501,110445,,10,Servicio de Salud Metropolitano Occidente,Municipal,13501,Melipilla,Posta de Salud Rural (PSR),Posta de Salud Rural Pahuilmo,Primario,Vigente en Operación Habitual,True,False,Nutricionista,412,170,242,14,29,44,49,43,47,29,35,66,56,0,10,13,21,21,19,16,7,11,23,29,160,0,4,16,23,28,24,31,22,24,43,27,238,0,0.0,0.0
2025,13,10,13501,110445,,10,Servicio de Salud Metropolitano Occidente,Municipal,13501,Melipilla,Posta de Salud Rural (PSR),Posta de Salud Rural Pahuilmo,Primario,Vigente en Operación Habitual,True,False,Tecnico en enfermeria,69,33,36,3,8,7,15,9,8,4,7,2,6,0,1,4,2,5,7,4,3,3,1,3,32,0,2,4,5,10,2,4,1,4,1,3,34,0,0.0,0.0
2025,13,10,13501,110455,,10,Servicio de Salud Metropolitano Occidente,Municipal,13501,Melipilla,Posta de Salud Rural (PSR),Posta de Salud Rural Pabellón,Primario,Vigente en Operación Habitual,True,False,Enfermera/o,125,64,61,0,0,0,0,0,0,0,0,0,0,125,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,61,0.0,0.0
2025,13,10,13501,110455,,10,Servicio de Salud Metropolitano Occidente,Municipal,13501,Melipilla,Posta de Salud Rural (PSR),Posta de Salud Rural Pabellón,Primario,Vigente en Operación Habitual,True,False,Medico/a,24,6,18,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,18,0.0,0.0
