Ano,IdServicio_master,servicio_salud_master,IdComuna_master,comuna_master,IdEstablecimiento,establecimiento_master,tipo_establecimiento_master,dependencia_master,nivel_geografico,65_mas_numerador,65_mas_denominador,65_mas_cobertura_pct
2023,11,Servicio de Salud Metropolitano Central,13102,Cerrillos,111307,Centro de Salud Familiar Enfermera Sofía Pincheira,Centro de Salud Familiar (CESFAM),Servicio de Salud,establecimiento,1074.0,4195.0,25.60190703218117
2023,11,Servicio de Salud Metropolitano Central,13102,Cerrillos,200346,Centro Comunitario de Salud Familiar Buzeta,Centro Comunitario de Salud Familiar (CECOSF),Servicio de Salud,establecimiento,90.0,37.0,243.24324324324326
2023,11,Servicio de Salud Metropolitano Central,13106,Estación Central,111302,Centro de Salud Familiar Padre Vicente Irarrázabal,Centro de Salud Familiar (CESFAM),Servicio de Salud,establecimiento,703.0,2784.0,25.251436781609193
2023,11,Servicio de Salud Metropolitano Central,13106,Estación Central,111306,Centro de Salud Familiar San José de Chuchunco,Centro de Salud Familiar (CESFAM),Servicio de Salud,establecimiento,1568.0,4531.0,34.60604723019201
2023,11,Servicio de Salud Metropolitano Central,13106,Estación Central,111310,Centro de Salud Familiar Las Mercedes,Centro de Salud Familiar (CESFAM),Servicio de Salud,establecimiento,547.0,4279.0,12.783360598270624
2023,11,Servicio de Salud Metropolitano Central,13106,Estación Central,111781,Centro Comunitario de Salud Familiar Villa Francia,Centro Comunitario de Salud Familiar (CECOSF),Servicio de Salud,establecimiento,261.0,3.0,8700.0
2023,11,Servicio de Salud Metropolitano Central,13119,Maipú,111304,Centro de Salud Familiar Maipú,Centro de Salud Familiar (CESFAM),Servicio de Salud,establecimiento,2464.0,9894.0,24.903982211441278
2023,11,Servicio de Salud Metropolitano Central,13119,Maipú,111308,Centro de Salud Familiar Dr. José Eduardo Ahués Salame,Centro de Salud Familiar (CESFAM),Servicio de Salud,establecimiento,1561.0,5761.0,27.095990279465372
2023,11,Servicio de Salud Metropolitano Central,13119,Maipú,111309,Centro de Salud Familiar Dra. Ana María Juricic,Centro de Salud Familiar (CESFAM),Servicio de Salud,establecimiento,1569.0,2720.0,57.68382352941176
2023,11,Servicio de Salud Metropolitano Central,13119,Maipú,111378,Centro de Salud Familiar Dr. Iván Insunza,Centro de Salud Familiar (CESFAM),Municipal,establecimiento,1583.0,4261.0,37.15090354376907
2023,11,Servicio de Salud Metropolitano Central,13119,Maipú,111379,Centro de Salud Familiar Clotario Blest,Centro de Salud Familiar (CESFAM),Municipal,establecimiento,2627.0,7454.0,35.24282264555943
2023,11,Servicio de Salud Metropolitano Central,13119,Maipú,111380,Centro de Salud Familiar Dr. Carlos Godoy,Centro de Salud Familiar (CESFAM),Municipal,establecimiento,1654.0,4013.0,41.21604784450536
2023,11,Servicio de Salud Metropolitano Central,13119,Maipú,111382,Centro de Salud Familiar Presidenta Michelle Bachelet,Centro de Salud Familiar (CESFAM),Municipal,establecimiento,2728.0,8199.0,33.272350286620316
